,postcode,ins_avg,ins_total,out_avg,out_total,suburb,state
212,2150,13.761904761904766,289.0,107.72119047619049,2262.145,HARRIS PARK,NSW
213,2151,46.047619047619044,967.0,263.1945714285714,5527.085999999998,NORTH PARRAMATTA,NSW
214,2152,27.714285714285715,582.0,142.4255238095238,2990.9359999999997,NORTHMEAD,NSW
215,2153,254.0,5334.0,1245.0134761904762,26145.283000000003,WINSTON HILLS,NSW
216,2154,155.61904761904762,3268.0,821.3443333333333,17248.231,CASTLE HILL,NSW
217,2155,372.90476190476187,7831.0,2159.613952380952,45351.893,KELLYVILLE RIDGE,NSW
218,2156,70.47619047619048,1480.0,478.0340476190476,10038.715,ANNANGROVE,NSW
219,2157,18.714285714285715,393.0,148.52366666666666,3118.9970000000003,HILLSIDE,NSW
220,2158,32.333333333333336,679.0,253.28861904761902,5319.061,DURAL DC,NSW
221,2159,22.66666666666667,476.0,157.00361904761903,3297.0759999999996,ARCADIA,NSW
222,2160,64.57142857142857,1356.0,319.6947142857143,6713.589000000001,MERRYLANDS,NSW
223,2161,70.71428571428571,1485.0,417.5165714285714,8767.848,YENNORA,NSW
224,2162,48.76190476190475,1024.0,270.6590476190477,5683.840000000001,CHESTER HILL,NSW
225,2163,20.095238095238095,422.0,152.28376190476192,3197.9590000000007,CARRAMAR,NSW
226,2164,84.66666666666667,1778.0,843.3340476190477,17710.015,WETHERILL PARK BC,NSW
227,2165,109.28571428571428,2295.0,522.36,10969.56,FAIRFIELD HEIGHTS,NSW
228,2166,143.0,3003.0,633.3660952380952,13300.688,CABRAMATTA,NSW
229,2167,45.85714285714285,963.0,209.8722380952381,4407.316999999999,GLENFIELD,NSW
230,2168,151.66666666666666,3185.0,656.6274285714286,13789.176000000001,MILLER,NSW
231,2170,361.71428571428567,7596.0,2122.1237142857144,44564.598,MOOREBANK,NSW
232,2171,162.80952380952382,3419.0,869.7963333333333,18265.723,ELIZABETH HILLS,NSW
233,2172,16.333333333333332,343.0,87.84542857142857,1844.754,PLEASURE POINT,NSW
234,2173,60.714285714285715,1275.0,257.92266666666666,5416.376,WATTLE GROVE,NSW
235,2174,53.61904761904761,1126.0,382.5169047619048,8032.855,INGLEBURN MILPO,NSW
236,2175,9.619047619047619,202.0,136.813,2873.073,HORSLEY PARK,NSW
237,2176,193.42857142857144,4062.0,929.5941904761903,19521.478,EDENSOR PARK,NSW
238,2177,63.61904761904761,1336.0,294.2044761904762,6178.294,BONNYRIGG HEIGHTS,NSW
239,2178,17.857142857142858,375.0,187.26566666666668,3932.579000000001,CECIL PARK,NSW
240,2179,65.66666666666667,1379.0,470.3967142857143,9878.331,AUSTRAL,NSW
